Date,Closing Index
1-January-2014,21140.48
2-January-2014,20888.33
3-January-2014,20851.33
6-January-2014,20787.3
7-January-2014,20693.24
8-January-2014,20729.38
9-January-2014,20713.37
10-January-2014,20758.49
13-January-2014,21134.21
14-January-2014,21032.88
15-January-2014,21289.49
16-January-2014,21265.18
17-January-2014,21063.62
20-January-2014,21205.05
21-January-2014,21251.12
22-January-2014,21337.67
23-January-2014,21373.66
24-January-2014,21133.56
27-January-2014,20707.45
28-January-2014,20683.51
29-January-2014,20647.3
30-January-2014,20498.25
31-January-2014,20513.85
3-February-2014,20209.26
4-February-2014,20211.93
5-February-2014,20261.03
6-February-2014,20310.74
7-February-2014,20376.56
10-February-2014,20334.27
11-February-2014,20363.37
12-February-2014,20448.49
13-February-2014,20193.35
14-February-2014,20366.82
17-February-2014,20464.06
18-February-2014,20634.21
19-February-2014,20722.97
20-February-2014,20536.64
21-February-2014,20700.75
24-February-2014,20811.44
25-February-2014,20852.47
26-February-2014,20986.99
28-February-2014,21120.12
3-March-2014,20946.65
4-March-2014,21209.73
5-March-2014,21276.86
6-March-2014,21513.87
7-March-2014,21919.79
10-March-2014,21934.83
11-March-2014,21826.42
12-March-2014,21856.22
13-March-2014,21774.61
14-March-2014,21809.8
18-March-2014,21832.61
19-March-2014,21832.86
20-March-2014,21740.09
21-March-2014,21753.75
24-March-2014,22055.48
25-March-2014,22055.21
26-March-2014,22095.3
27-March-2014,22214.37
28-March-2014,22339.97
31-March-2014,22386.27
1-April-2014,22446.44
2-April-2014,22551.49
3-April-2014,22509.07
4-April-2014,22359.5
7-April-2014,22343.45
9-April-2014,22702.34
10-April-2014,22715.33
11-April-2014,22628.96
15-April-2014,22484.93
16-April-2014,22277.23
17-April-2014,22628.84
21-April-2014,22764.83
22-April-2014,22758.37
23-April-2014,22876.54
25-April-2014,22688.07
28-April-2014,22631.61
29-April-2014,22466.19
30-April-2014,22417.8
2-May-2014,22403.89
5-May-2014,22445.12
6-May-2014,22508.42
7-May-2014,22323.9
8-May-2014,22344.04
9-May-2014,22994.23
12-May-2014,23551
13-May-2014,23871.23
14-May-2014,23815.12
15-May-2014,23905.6
16-May-2014,24121.74
19-May-2014,24363.05
20-May-2014,24376.88
21-May-2014,24298.02
22-May-2014,24374.4
23-May-2014,24693.35
26-May-2014,24716.88
27-May-2014,24549.51
28-May-2014,24556.09
29-May-2014,24234.15
30-May-2014,24217.34
2-June-2014,24684.85
3-June-2014,24858.59
4-June-2014,24805.83
5-June-2014,25019.51
6-June-2014,25396.46
9-June-2014,25580.21
10-June-2014,25583.69
11-June-2014,25473.89
12-June-2014,25576.21
13-June-2014,25228.17
16-June-2014,25190.48
17-June-2014,25521.19
18-June-2014,25246.25
19-June-2014,25201.8
20-June-2014,25105.51
23-June-2014,25031.32
24-June-2014,25368.9
25-June-2014,25313.74
26-June-2014,25062.67
27-June-2014,25099.92
30-June-2014,25413.78
1-July-2014,25516.35
2-July-2014,25841.21
3-July-2014,25823.75
4-July-2014,25962.06
7-July-2014,26100.08
8-July-2014,25582.11
9-July-2014,25444.81
10-July-2014,25372.75
11-July-2014,25024.35
14-July-2014,25006.98
15-July-2014,25228.65
16-July-2014,25549.72
17-July-2014,25561.16
18-July-2014,25641.56
21-July-2014,25715.17
22-July-2014,26025.8
23-July-2014,26147.33
24-July-2014,26271.85
25-July-2014,26126.75
28-July-2014,25991.23
30-July-2014,26087.42
