Mahindra,ONGC,Sun Pharma,Vedanta Ltd,Wipro,Cipla,Eicher,Hero,Infosys,ITC
474,193.332993,568.25,202.550003,211.5,402.5,5004.600098,2083,436.5,214.867004
472,193.300003,572.099976,201.5,207.261993,402,4983.049805,2089,432.906006,214.899994
464,188.667007,575,198.850006,205.125,391.549988,4953.149902,2075.050049,434.375,210
451.850006,185.332993,583,198,209.962006,393.899994,5019,2101.050049,446.888,210
448,187.332993,593,198.300003,209.25,393.899994,5008,2071.100098,439.881012,211
454,184.766998,600,194.5,205.875,391.100006,4943,2075,432.625,211.667007
455,182.667007,600.900024,192,205.125,404,5120,2069.449951,430,211.132996
447,187.300003,607,198,203.662994,401.200012,4995.100098,2063.050049,436.25,211.800003
436.5,193.332993,610,197.100006,208.125,396.350006,4985,2032.050049,447.75,215.733002
441.5,195.266998,600,195.399994,210.955994,400.899994,5020,2036,455.625,217.332993
445.75,194.667007,604,193.350006,208.968994,414.350006,5045,2040.099976,461.912994,216.733002
452.75,196,604,198.100006,208.125,419,5000,2076.25,462.375,219.332993
445.5,189.367004,591.75,200.199997,215.625,412.5,5040,2078.850098,466.125,217.332993
445.5,191.332993,595,201.199997,207.225006,419,4993,2080,464,216.332993
453,191.699997,594,210,215.531006,420.25,5088,2091.100098,468.75,220.167007
449.075012,191.332993,580.349976,208,213.75,417.700012,5114.950195,2071,467.649994,219
458.225006,192.699997,598.549988,210.100006,216,422.899994,5094.950195,2065,473.013,217.567001
441.25,189.5,607.950012,205.800003,215.850006,418,5001,2049,470.625,218.600006
430.600006,184.067001,597.950012,199.399994,213.75,411.5,4903.100098,2029.699951,465,213.667007
432.5,183.367004,597.5,195,213.300003,416.299988,4900,2014.699951,463.375,216.100006
439.475006,183.832993,588,203,211.875,411,4837.75,2015.099976,458.25,218.199997
429.5,182.667007,592.950012,191,213,410.950012,4716,2094,462.962006,214.367004
437,182.167007,595.900024,188,214.462006,415,4700,1965,462.5,216.600006
441.100006,182,588.200012,190,211.199997,408.5,4607,1972,460.625,215.100006
437.5,177.033005,594.349976,183,210.636993,410.700012,4520.100098,1950,447.625,212.332993
428.5,178.600006,587.849976,185,209.25,416.899994,4599.899902,1994.800049,447.5,215
437.75,180.600006,587.849976,185,209.662994,417.5,4637,1995.25,446.5,213.332993
451.274994,180.266998,590.950012,184.649994,213.731003,412.850006,4548,2000,448.375,218
447.625,179.332993,605.5,191.100006,211.125,419.450012,4426,1999,447.487,215.033005
449.049988,182.332993,616.950012,188.550003,212.25,415,4406,2005.099976,448,216.067001
448.850006,184.733002,614,190,211.705994,414.899994,4431,1970.099976,450.062012,217
447.5,188.667007,615,188.5,211.875,390,4525,1981.25,450.600006,213.800003
453.5,183.332993,622.5,188.600006,208.705994,384.700012,4839.899902,1964.25,451.944,212.067001
452.475006,184.667007,610,190,211.875,373.350006,4899,1945.150024,460.625,214
467.5,184.733002,605,187,209.718994,374,4900,1985,455.875,213.332993
468,184.667007,613,189.350006,208.5,373,4925,1995,461.955994,211.867004
468.075012,184.733002,620.349976,185.600006,211.856003,373.200012,4907,1939,468.112,210.667007
465.149994,184.632996,622,185.100006,212.061996,374,4905,1928,467,209
465,184.067001,612,184.350006,214.912994,366.5,4920,1917,468.25,210.667007
472.950012,189.300003,622.5,184.600006,217.5,367.549988,4884.850098,1952,469.375,212.733002
471.5,187.332993,622,179.5,223.5,377.399994,4913,1950,472.5,215.199997
482.5,188.199997,628.849976,175,226.125,379,5015,1988,470.138,216.632996
486.350006,193.033005,649,176.649994,225,386,5094,1950,478.125,218.533005
475.049988,193.733002,625.150024,174.050003,219.75,377,5180,1946,471.25,220.266998
478.75,198,625,183.449997,222.412994,379.299988,5451,1981.099976,478.487,221.167007
475.149994,200.600006,624.25,183,222,386,5649.850098,1974.099976,479.75,221.800003
480,205.932999,626,186.75,220.5,382.100006,5525,2011.849976,478.375,221.399994
489.649994,209.033005,608,185.5,211.537994,381.75,5498,2008.849976,466.212006,224
506,211.667007,596,183.800003,208.875,375.25,5564,2025.25,456.625,223.600006
494.700012,213.832993,581.799988,176,209.962006,377.200012,5466,2019,459.174988,222.867004
500.950012,211.332993,610.849976,176.100006,210.75,379.399994,5490,2066.100098,427.5,227.567001
506.450012,214.733002,570,170,211.5,379.649994,5525,2105,417.5,228.067001
514.224976,215.332993,585,173.100006,206.25,388,5571.350098,2126,425,233.332993
505.5,217.632996,581.150024,173.850006,202.705994,387,5589.850098,2141,418.75,237.332993
491.450012,209.332993,581,174.75,205.125,380.5,5736.100098,2115,408.75,239.033005
492.5,211.466995,590.049988,173.25,209.494003,388,5760,2111,416.25,237.667007
490,206.932999,580.049988,176.149994,214.125,398,5772,2066.199951,409.024994,237.367004
493.5,206,581,177.5,209.005997,393.5,5834,2117,406,239.332993
490,213.667007,583.700012,176.300003,206.587006,392.649994,6022,2197,407.5,242
480,214.266998,568.950012,181.75,204.75,390,5759.549805,2190,406,239.332993
484.5,221.332993,566,181.199997,207.768997,386.350006,5925.200195,2259,405.013,241
486.149994,219.033005,568,183.149994,207,388.200012,5850,2263.899902,410.662994,239.432999
492.5,214,575,189.050003,205.125,383.700012,5965,2274.800049,410.381012,235.667007
503.25,216.632996,572,192.550003,211.688004,384.799988,6070,2270,418.600006,235.067001
502.350006,221.266998,578.349976,190.100006,211.875,391.5,6175,2264.899902,417.437988,229.733002
503,216.966995,580,190.25,211.875,398,6101,2260,418.875,231.266998
500,217.632996,580,189.899994,207.375,407.899994,6040,2250,412.25,229.832993
509,217.067001,597,195.800003,209.625,398.25,6050,2254,410.131012,230.399994
509.5,215.300003,633.799988,198.649994,208.125,401.399994,6170.600098,2247,406.812012,232.132996
506.049988,213.367004,620,195.800003,208.350006,397.5,6296.600098,2207.399902,401.25,228.533005
498.25,213.332993,632,196.300003,211.893997,402.25,6195,2174.050049,416.524994,228.466995
492.5,213.567001,617.400024,189.449997,223.011993,401.100006,6034.899902,2225,405.243988,227.300003
490,211,614.5,190.300003,216.337006,399.5,6010,2170,397.5,231.466995
500,215.300003,628.700012,194,212.25,400,5944,2201,401.25,234.932999
517.5,215.466995,616.700012,201.5,205.875,400.149994,5975,2250,396.506012,235.266998
513.325012,217.800003,616.5,193.350006,199.875,397.299988,6114.399902,2264,396.756012,234.667007
519.575012,217.332993,625.599976,192.550003,196.761993,399.049988,6285.899902,2256.149902,396.580994,235.466995
519,219.233002,627,192.050003,197.811996,397.25,6280,2270,398.5,235.800003
532.5,213.367004,621.099976,194,195.018997,394.25,6100,2197.600098,396.125,230.300003
533.5,214.800003,639,193.75,199.125,407.799988,6117,2163.399902,397.875,227.332993
535,213,628,191,198.375,401.200012,6119,2148.050049,397.205994,226.867004
529.5,217.966995,631.599976,187,194.324997,397.5,6244,2222,398.125,227.399994
525,219.399994,622.299988,178.800003,196.5,402.049988,6248,2196.350098,399,227
531.25,224.033005,627,179.850006,194.625,395.649994,6500,2193.5,397.112,230.667007
533,226.667007,625,180.5,191.287994,391.149994,6434.700195,2184,393.875,232
532.5,224,625.099976,180.399994,189.619003,391,6550,2141.149902,383.75,231.332993
535,222.332993,621.599976,178.550003,190.5,388.350006,6501.049805,2122.25,383.125,228.533005
550.5,231.432999,624,183.699997,192.505997,393.100006,6550,2224.899902,389.774994,230.233002
570.5,248.667007,618.299988,192,193.125,391,6487,2319,397.875,240
552.5,249.332993,607.349976,194,199.125,392.200012,6507,2429,406.281006,240.867004
540,244.932999,620,198.899994,196.988007,394.700012,6466.600098,2443,406.763,243.766998
560,261.333008,622.200012,198,195.375,401.399994,6380,2489.949951,412.375,246.533005
569.950012,262.632996,613,219.699997,188.718994,390.149994,6281.25,2429.899902,399.75,240
550.5,278.933014,582,229.949997,182.25,383,6367,2410,381.125,228
563.5,264.066986,584.099976,249.199997,186,390,6730,2380,389.75,226.367004
577.349976,266.666992,577.099976,251.449997,185.587006,391.399994,7300,2357,395,228.667007
566.5,265.632996,580,260.899994,181.386993,388.200012,7310,2327,390.625,232.667007
586.950012,274.666992,604,271,184.875,388.350006,7350,2370,383.875,230.533005
620.075012,270.333008,591.349976,281.5,191.886993,382,7174.799805,2280.25,387.5,230
600,263.666992,598,276.75,192,378.600006,7099.649902,2300,390.437988,229.332993
582.5,256.666992,585,280.100006,192.75,380.100006,6949,2350,378.125,230
594.5,250.132996,592,276.549988,187.5,370,6961.850098,2326,367.5,229.867004
617.5,253.733002,614,280.950012,190.011993,389,6680,2348,370.062012,228
620.25,267.632996,598,282,188.962006,386.049988,6875,2415,376,222.199997
615.549988,277.433014,602,298.700012,186,387.350006,7210.25,2480,376.875,221.667007
607.5,272.700012,594,295.799988,185.061996,391.200012,7200,2564.949951,375,220.699997
603.5,283.899994,610.049988,316.950012,189,387.950012,7160,2592,375.019012,223.332993
620,313.333008,600,309.450012,191.25,398,7192.850098,2694,375.75,225.733002
614.5,303.333008,603,310.899994,191.925003,399,7300,2721,375,226
615,294.666992,618,299.799988,197.399994,408,7210,2640.100098,388.125,226
608.700012,285.367004,617,294.799988,199.518997,414,7112,2700,410,222.667007
616,287.03299,630,293,199.593994,415.5,7354.950195,2719,398.562012,224.567001
611.650024,280.367004,625,289.600006,199.274994,414.75,7290,2600,398.25,222.832993
597.349976,285,646.450012,289.5,202.125,417,7251.25,2614.699951,406.125,223.966995
594.5,296.867004,646.049988,298.5,201.694,420,7300,2603.899902,405.625,224.300003
583,290.166992,633.5,298.25,198,429.899994,7300,2550,405.730988,223.233002
588.075012,280.367004,642.549988,292.399994,202.688004,426.600006,7210,2535,415,224.332993
