Date,CallExpiry,CallStrikePrice,CallClose,PutExpiry,PutStrikePrice,PutClose
01-Jan-2019,31-Jan-2019,8550,1671.65,31-Jan-2019,8550,1.55
01-Jan-2019,31-Jan-2019,8600,2335.7,31-Jan-2019,8600,1.55
01-Jan-2019,31-Jan-2019,8650,1678.4,31-Jan-2019,8650,31.05
01-Jan-2019,31-Jan-2019,8700,1633.15,31-Jan-2019,8700,2
01-Jan-2019,31-Jan-2019,8750,1588.25,31-Jan-2019,8750,38.9
01-Jan-2019,31-Jan-2019,8800,1543.75,31-Jan-2019,8800,43.4
01-Jan-2019,31-Jan-2019,8850,1499.65,31-Jan-2019,8850,48.3
01-Jan-2019,31-Jan-2019,8900,1455.95,31-Jan-2019,8900,3
01-Jan-2019,31-Jan-2019,8950,1412.75,31-Jan-2019,8950,59.4
01-Jan-2019,31-Jan-2019,9000,1942.65,31-Jan-2019,9000,3.6
01-Jan-2019,31-Jan-2019,9050,1327.7,31-Jan-2019,9050,72.4
01-Jan-2019,31-Jan-2019,9100,1710.8,31-Jan-2019,9100,3.65
01-Jan-2019,31-Jan-2019,9150,1244.75,31-Jan-2019,9150,87.45
01-Jan-2019,31-Jan-2019,9200,1712.7,31-Jan-2019,9200,4.4
01-Jan-2019,31-Jan-2019,9250,1164.05,31-Jan-2019,9250,12.95
01-Jan-2019,31-Jan-2019,9300,1608.1,31-Jan-2019,9300,5.05
01-Jan-2019,31-Jan-2019,9350,1085.75,31-Jan-2019,9350,124.45
01-Jan-2019,31-Jan-2019,9400,1453.45,31-Jan-2019,9400,5.15
01-Jan-2019,31-Jan-2019,9450,1010.1,31-Jan-2019,9450,146.8
01-Jan-2019,31-Jan-2019,9500,1450,31-Jan-2019,9500,5.75
01-Jan-2019,31-Jan-2019,9550,937.45,31-Jan-2019,9550,172.2
01-Jan-2019,31-Jan-2019,9600,1353.5,31-Jan-2019,9600,5.95
01-Jan-2019,31-Jan-2019,9650,866.95,31-Jan-2019,9650,199.65
01-Jan-2019,31-Jan-2019,9700,1208.05,31-Jan-2019,9700,6.25
01-Jan-2019,31-Jan-2019,9750,1050,31-Jan-2019,9750,6.55
01-Jan-2019,31-Jan-2019,9800,1080.45,31-Jan-2019,9800,8.1
01-Jan-2019,31-Jan-2019,9850,736.05,31-Jan-2019,9850,10.5
01-Jan-2019,31-Jan-2019,9900,983.25,31-Jan-2019,9900,10.3
01-Jan-2019,31-Jan-2019,9950,675.3,31-Jan-2019,9950,12.55
01-Jan-2019,31-Jan-2019,10000,962.95,31-Jan-2019,10000,13.95
01-Jan-2019,31-Jan-2019,10050,873.35,31-Jan-2019,10050,16.4
01-Jan-2019,31-Jan-2019,10100,821.3,31-Jan-2019,10100,17.75
01-Jan-2019,31-Jan-2019,10150,563.6,31-Jan-2019,10150,18.7
01-Jan-2019,31-Jan-2019,10200,771.7,31-Jan-2019,10200,23.35
01-Jan-2019,31-Jan-2019,10250,525,31-Jan-2019,10250,27.5
01-Jan-2019,31-Jan-2019,10300,684.2,31-Jan-2019,10300,30.9
01-Jan-2019,31-Jan-2019,10350,464.9,31-Jan-2019,10350,35.15
01-Jan-2019,31-Jan-2019,10400,593.45,31-Jan-2019,10400,39.55
01-Jan-2019,31-Jan-2019,10450,530,31-Jan-2019,10450,45.25
01-Jan-2019,31-Jan-2019,10500,506.7,31-Jan-2019,10500,52.15
01-Jan-2019,31-Jan-2019,10550,453.35,31-Jan-2019,10550,60.25
01-Jan-2019,31-Jan-2019,10600,427.05,31-Jan-2019,10600,68.95
01-Jan-2019,31-Jan-2019,10650,385.6,31-Jan-2019,10650,79.55
01-Jan-2019,31-Jan-2019,10700,346.1,31-Jan-2019,10700,90.3
01-Jan-2019,31-Jan-2019,10750,311.7,31-Jan-2019,10750,103.1
01-Jan-2019,31-Jan-2019,10800,276.7,31-Jan-2019,10800,117.8
01-Jan-2019,31-Jan-2019,10850,243.15,31-Jan-2019,10850,134.3
01-Jan-2019,31-Jan-2019,10900,211.25,31-Jan-2019,10900,150.95
01-Jan-2019,31-Jan-2019,10950,183.15,31-Jan-2019,10950,171.4
01-Jan-2019,31-Jan-2019,11000,154.15,31-Jan-2019,11000,192.05
01-Jan-2019,31-Jan-2019,11050,130.4,31-Jan-2019,11050,217.5
01-Jan-2019,31-Jan-2019,11100,106.95,31-Jan-2019,11100,242.25
01-Jan-2019,31-Jan-2019,11150,87.75,31-Jan-2019,11150,273.45
01-Jan-2019,31-Jan-2019,11200,69.8,31-Jan-2019,11200,303.4
01-Jan-2019,31-Jan-2019,11250,55.5,31-Jan-2019,11250,346.35
01-Jan-2019,31-Jan-2019,11300,42.75,31-Jan-2019,11300,374
01-Jan-2019,31-Jan-2019,11350,32.35,31-Jan-2019,11350,466.95
01-Jan-2019,31-Jan-2019,11400,24.5,31-Jan-2019,11400,451.05
01-Jan-2019,31-Jan-2019,11450,18.9,31-Jan-2019,11450,1228.15
01-Jan-2019,31-Jan-2019,11500,13.45,31-Jan-2019,11500,542.75
01-Jan-2019,31-Jan-2019,11550,9.95,31-Jan-2019,11550,643.35
01-Jan-2019,31-Jan-2019,11600,6.65,31-Jan-2019,11600,629.55
01-Jan-2019,31-Jan-2019,11650,134.35,31-Jan-2019,11650,1310.65
01-Jan-2019,31-Jan-2019,11700,3.8,31-Jan-2019,11700,726.65
01-Jan-2019,31-Jan-2019,11750,3.55,31-Jan-2019,11750,1392.9
01-Jan-2019,31-Jan-2019,11800,3,31-Jan-2019,11800,829
01-Jan-2019,31-Jan-2019,11850,3.35,31-Jan-2019,11850,1368.1
01-Jan-2019,31-Jan-2019,11900,2.05,31-Jan-2019,11900,1002.9
01-Jan-2019,31-Jan-2019,11950,2.3,31-Jan-2019,11950,1314.35
01-Jan-2019,31-Jan-2019,12000,1.85,31-Jan-2019,12000,1026.8
01-Jan-2019,31-Jan-2019,12050,1.8,31-Jan-2019,12050,1396.8
01-Jan-2019,31-Jan-2019,12100,1.4,31-Jan-2019,12100,1268.95
01-Jan-2019,31-Jan-2019,12150,4.3,31-Jan-2019,12150,1329.4
01-Jan-2019,31-Jan-2019,12200,1.05,31-Jan-2019,12200,1305.45
01-Jan-2019,31-Jan-2019,12250,42.8,31-Jan-2019,12250,1345.55
01-Jan-2019,31-Jan-2019,12300,1.1,31-Jan-2019,12300,1469
